,UserId,UserName,ProductId,Score
0,AVC6IBO40ZCZB,firejackal,7635259636,2.0
1,AVC6IBO40ZCZB,firejackal,B000BZJMGW,2.0
2,AVC6IBO40ZCZB,firejackal,B000C3ZDG6,5.0
3,AVC6IBO40ZCZB,firejackal,B000C44CU8,3.0
4,AVC6IBO40ZCZB,firejackal,B000C44DIY,4.0
5,AVC6IBO40ZCZB,firejackal,B000C9GBGQ,5.0
6,AVC6IBO40ZCZB,firejackal,B000CIKC76,4.0
7,AVC6IBO40ZCZB,firejackal,B000COBXBE,4.0
8,AVC6IBO40ZCZB,firejackal,B000CPIH1C,4.0
9,AVC6IBO40ZCZB,firejackal,B000FJVO24,4.0
10,AVC6IBO40ZCZB,firejackal,B000OL1JM8,3.0
11,AVC6IBO40ZCZB,firejackal,B000YE58SG,4.0
12,AVC6IBO40ZCZB,firejackal,B001E0HUYY,3.0
13,AVC6IBO40ZCZB,firejackal,B001IWL1O8,5.0
14,AVC6IBO40ZCZB,firejackal,B001O9TNMC,3.0
15,AVC6IBO40ZCZB,firejackal,B001PYCINM,3.0
16,AVC6IBO40ZCZB,firejackal,B001QV7U8C,1.0
17,AVC6IBO40ZCZB,firejackal,B001QVA13S,5.0
18,AVC6IBO40ZCZB,firejackal,B001VILJ8C,5.0
19,AVC6IBO40ZCZB,firejackal,B00280APLE,5.0
20,AVC6IBO40ZCZB,firejackal,B002H3B5IE,3.0
21,AVC6IBO40ZCZB,firejackal,B0040DXAWI,4.0
22,AVC6IBO40ZCZB,firejackal,B004QHL9D0,4.0
23,AVC6IBO40ZCZB,firejackal,B0055ELS6G,5.0
24,AVC6IBO40ZCZB,firejackal,B005ETCIO8,3.0
25,AVC6IBO40ZCZB,firejackal,B007P72CKW,3.0
26,AVC6IBO40ZCZB,firejackal,B007Y5M9XU,5.0
27,AVC6IBO40ZCZB,firejackal,B00AAOERAA,5.0
28,A2THQCHKR89E16,D. Bryan,B00000JD3O,5.0
29,A2THQCHKR89E16,D. Bryan,B00006364B,2.0
30,A2THQCHKR89E16,D. Bryan,B00009W2GI,5.0
31,A2THQCHKR89E16,D. Bryan,B00062ZIRC,5.0
32,A2THQCHKR89E16,D. Bryan,B0009IQXJ0,5.0
33,A2THQCHKR89E16,D. Bryan,B000C427MI,5.0
34,A2THQCHKR89E16,D. Bryan,B000C9TAUA,5.0
35,A2THQCHKR89E16,D. Bryan,B000E2CVIS,5.0
36,A2THQCHKR89E16,D. Bryan,B000FW2MWW,4.0
37,A2THQCHKR89E16,D. Bryan,B000IZ2CIK,3.0
38,A2THQCHKR89E16,D. Bryan,B000NCOKZQ,4.0
39,A2THQCHKR89E16,D. Bryan,B000QUFPQI,5.0
40,A2THQCHKR89E16,D. Bryan,B000S2MJYA,3.0
41,A2THQCHKR89E16,D. Bryan,B000S2NYK8,3.0
42,A2THQCHKR89E16,D. Bryan,B0013G0PKU,3.0
43,A2THQCHKR89E16,D. Bryan,B001B8H0YE,5.0
44,A2THQCHKR89E16,D. Bryan,B001B8LSMO,5.0
45,A2THQCHKR89E16,D. Bryan,B001NAUBXC,5.0
46,A2THQCHKR89E16,D. Bryan,B001O0AMZS,5.0
47,A2THQCHKR89E16,D. Bryan,B00280CSF0,4.0
48,A2THQCHKR89E16,D. Bryan,B002WBRRHE,5.0
49,A2THQCHKR89E16,D. Bryan,B0036GK6T0,5.0
50,A2THQCHKR89E16,D. Bryan,B003CJ927I,5.0
51,A2THQCHKR89E16,D. Bryan,B0048IZW2G,3.0
52,A2THQCHKR89E16,D. Bryan,B0057ZJQDA,4.0
53,A2THQCHKR89E16,D. Bryan,B005G7SBY4,5.0
54,A2THQCHKR89E16,D. Bryan,B005ZMJEB4,5.0
55,A2THQCHKR89E16,D. Bryan,B0066K529W,5.0
56,A2THQCHKR89E16,D. Bryan,B007CMRCKU,5.0
57,A2THQCHKR89E16,D. Bryan,B0096GJNWK,5.0
58,A2I8LFSN2IS5EO,Chris,B00002243X,5.0
59,A2I8LFSN2IS5EO,Chris,B0009IBJCQ,5.0
60,A2I8LFSN2IS5EO,Chris,B0009TAOGM,5.0
61,A2I8LFSN2IS5EO,Chris,B000BRCF0A,1.0
62,A2I8LFSN2IS5EO,Chris,B000BUU5XQ,3.0
63,A2I8LFSN2IS5EO,Chris,B000CINVA6,5.0
64,A2I8LFSN2IS5EO,Chris,B000EDOT82,5.0
65,A2I8LFSN2IS5EO,Chris,B000EDSSKM,5.0
66,A2I8LFSN2IS5EO,Chris,B000EDUTWM,2.0
67,A2I8LFSN2IS5EO,Chris,B000EVWDU0,5.0
68,A2I8LFSN2IS5EO,Chris,B000EVYGZA,5.0
69,A2I8LFSN2IS5EO,Chris,B000IZSB2Q,4.0
70,A2I8LFSN2IS5EO,Chris,B000M5UD1E,2.0
71,A2I8LFSN2IS5EO,Chris,B000P17NXQ,5.0
72,A2I8LFSN2IS5EO,Chris,B0015YBYCS,4.0
73,A2I8LFSN2IS5EO,Chris,B00192KY22,5.0
74,A2I8LFSN2IS5EO,Chris,B001ABL2BE,4.0
75,A2I8LFSN2IS5EO,Chris,B001D8XA50,5.0
76,A2I8LFSN2IS5EO,Chris,B001D9E41I,4.0
77,A2I8LFSN2IS5EO,Chris,B001S21LJ8,5.0
78,A2I8LFSN2IS5EO,Chris,B001TS78LG,5.0
79,A2I8LFSN2IS5EO,Chris,B001V8U12M,4.0
80,A2I8LFSN2IS5EO,Chris,B001XOVIQM,4.0
81,A2I8LFSN2IS5EO,Chris,B0024E6QX0,5.0
82,A2I8LFSN2IS5EO,Chris,B0024E6YWS,5.0
83,A2I8LFSN2IS5EO,Chris,B002UC8P3K,5.0
84,A2I8LFSN2IS5EO,Chris,B00316KU6E,5.0
85,A2I8LFSN2IS5EO,Chris,B0039HD4V8,5.0
86,A2I8LFSN2IS5EO,Chris,B004C6OBBC,5.0
87,A2I8LFSN2IS5EO,Chris,B004JPVGA0,5.0
88,A2I8LFSN2IS5EO,Chris,B00537FR08,5.0
89,A2I8LFSN2IS5EO,Chris,B005KDOAGC,5.0
90,A2I8LFSN2IS5EO,Chris,B005RH078Q,5.0
91,A2I8LFSN2IS5EO,Chris,B006X8ADTG,4.0
92,A2I8LFSN2IS5EO,Chris,B009ELO9G2,1.0
93,A3GT2EWQSO45ZG,DeusEx,B00002243X,5.0
94,A3GT2EWQSO45ZG,DeusEx,B00002243Z,4.0
95,A3GT2EWQSO45ZG,DeusEx,B0002STSQM,5.0
96,A3GT2EWQSO45ZG,DeusEx,B0002YFD1K,5.0
97,A3GT2EWQSO45ZG,DeusEx,B0006IX7Y2,5.0
98,A3GT2EWQSO45ZG,DeusEx,B0006O2SAK,5.0
99,A3GT2EWQSO45ZG,DeusEx,B000701HF0,5.0
100,A3GT2EWQSO45ZG,DeusEx,B000BRFS36,5.0
101,A3GT2EWQSO45ZG,DeusEx,B000BUOSGG,4.0
102,A3GT2EWQSO45ZG,DeusEx,B000BUQOFO,4.0
103,A3GT2EWQSO45ZG,DeusEx,B000GPB3CI,5.0
104,A3GT2EWQSO45ZG,DeusEx,B000HM579K,5.0
105,A3GT2EWQSO45ZG,DeusEx,B000JHFFQI,5.0
106,A3GT2EWQSO45ZG,DeusEx,B000NCOKZQ,5.0
107,A3GT2EWQSO45ZG,DeusEx,B000NJ6EZ8,5.0
108,A3GT2EWQSO45ZG,DeusEx,B000P17NXQ,5.0
109,A3GT2EWQSO45ZG,DeusEx,B000PGXP5G,5.0
110,A3GT2EWQSO45ZG,DeusEx,B000TRBIG4,5.0
111,A3GT2EWQSO45ZG,DeusEx,B000UOBIZC,5.0
112,A3GT2EWQSO45ZG,DeusEx,B000UODGIY,5.0
113,A3GT2EWQSO45ZG,DeusEx,B000UVMJBW,5.0
114,A3GT2EWQSO45ZG,DeusEx,B0012B51HI,5.0
115,A3GT2EWQSO45ZG,DeusEx,B0012B51IW,5.0
116,A3GT2EWQSO45ZG,DeusEx,B001P81OKG,5.0
117,A3GT2EWQSO45ZG,DeusEx,B001V8U12M,3.0
118,A3GT2EWQSO45ZG,DeusEx,B0024E6QX0,5.0
119,A3GT2EWQSO45ZG,DeusEx,B0024ECJSQ,5.0
120,A3GT2EWQSO45ZG,DeusEx,B0027VFZE6,5.0
121,A3GT2EWQSO45ZG,DeusEx,B0028PJ10K,5.0
122,A3GT2EWQSO45ZG,DeusEx,B002QAC66I,4.0
123,A3GT2EWQSO45ZG,DeusEx,B003IOITRG,5.0
124,A3GT2EWQSO45ZG,DeusEx,B003VAYK0W,5.0
125,A3GT2EWQSO45ZG,DeusEx,B004QO246O,5.0
126,A3GT2EWQSO45ZG,DeusEx,B006CQ9BMO,5.0
127,A3GT2EWQSO45ZG,DeusEx,B007HRUTS2,5.0
128,A1ORODEBRN64C,"James F. Magowan ""Jimmy Mac""",B00002243X,5.0
129,A1ORODEBRN64C,"James F. Magowan ""Jimmy Mac""",B0002JML5Q,5.0
130,A1ORODEBRN64C,"James F. Magowan ""Jimmy Mac""",B0002KKTT0,5.0
131,A1ORODEBRN64C,"James F. Magowan ""Jimmy Mac""",B0002SQUG8,5.0
132,A1ORODEBRN64C,"James F. Magowan ""Jimmy Mac""",B0002SRDBY,5.0
133,A1ORODEBRN64C,"James F. Magowan ""Jimmy Mac""",B0002STSGC,5.0
134,A1ORODEBRN64C,"James F. Magowan ""Jimmy Mac""",B0002UEMZ2,5.0
135,A1ORODEBRN64C,"James F. Magowan ""Jimmy Mac""",B0002Z9BN0,5.0
136,A1ORODEBRN64C,"James F. Magowan ""Jimmy Mac""",B00030CO3S,5.0
137,A1ORODEBRN64C,"James F. Magowan ""Jimmy Mac""",B00030CZV4,5.0
